"name","address","email","website","tel","postcode","latitude","longitude","star","city","chainname","brandname","country","countrycode"
"Hilton Hurghada Long Beach Resort","Sahl Hashish Road, Hurghada, 67 Egypt","hurghada.longbeach.reservations@hilton.com","http://www3.hilton.com/en/hotels/egypt/hilton-hurghada-long-beach-resort-HRGLBHI/index.html","20653461500","84511","27.08635","33.84763","4","Hurghada","Hilton Hotels & Resorts","Hilton Hotels & Resorts","Egypt","EG"
"Royal Hotel MUNAKATA","Tano 1303, Munakata",,"http://www.daiwaresort.jp/genkai/index.html/","+81940624111","8113514","33.86096","130.525881","4","munakata",,,"Japan","JP"
"Gioberti Hotel","Via Gioberti 20; Rome 00185; Italy","info@hotelgioberti.it","http://www.hotelgioberti.it","+3964440625","00185","41.89959","12.50125","4","Rome",,,"Italy","IT"
"Hotel Serrano by Silken","Marques de Villamejor, 8, Madrid","direccion.serrano@aa-hoteles.com","https://www.aa-hoteles.com/en/hotel-serrano-madrid","915 769 626","28006","40.431171","-3.687402","4","Madrid",,,"Spain","ES"
"Sarova Whitesands Beach Resort & Spa Mombasa","Along NyalI, Malindi Highway, Bamburi","centralreservations@sarovahotels.com","http://www.sarovahotels.com","+254709111000","80100","-3.993051","39.732206","5","mombasa",,,"Kenya","KE"
"Crowne Plaza Alice Springs Lasseters","93 Barrett Drive, Alice Springs","info.lhc@lasseters.com.au","http://www.lasseters.com.au","+61889507777",,"-23.718509","133.878257","4","alice springs","InterContinental Hotels & Resorts","Crowne Plaza","Australia","AU"
"Sheraton Grand Taipei Hotel","12 Zhongxiao Chung Hsiao) East Rd. Section 1","sheraton@sheratongrandetaipei.com.tw","https://www.marriott.com/hotels/travel/tpest-sheraton-grand-taipei-hotel/","+886 2 2321 5511","100","25.045094","121.521969","5","Taipei","Marriott Bonvoy","Sheraton","Taiwan (China)","TW"
"Hotel & Casino Bulgaria","21 Aleksandrovska St., Burgas","hotelbulgaria@bginfo.net","http://www.bulgaria-hotel.com/","0035956842610","8000","42.492821","27.473143","4","burgas",,,"Bulgaria","BG"
"Cordis, Auckland by Langham Hospitality Group","83 Symonds Street, P.O. Box 2771, Auckland 1010 New Zealand","tlakl.info@langhamhotels.com","https://www.cordishotels.com/en/auckland/restaurants-and-bars/the-lobby-lounge/","+6493795132","1010","-36.857987","174.763852","5","Auckland","The Langham Hotels and Resorts","The Langham Hotels and Resorts","New Zealand","NZ"
"Hotel Cornavin Geneve","23 Blvd James-Fazy,Grottes","cornavin@fhotels.ch","http://www.fhotels.ch","+41227161212","1201","46.20925","6.14194","4","Geneva",,,"Switzerland","CH"
"Mercure Burton Upon Trent, Newton Park","Newton Solney DE15 0SS - Staffordshire United Kingdom","info@mercureburton.co.uk","http://www.mercureburton.co.uk","01283 305 012","DE150SS","52.82705","-1.58704","3","Burton Upon Trent","HUAZHU Group","Mercure Hotels","United Kingdom","GB"
"Manin Hotel Milan","Via Manin 7, Milan","info@hotelmanin.it","http://www.hotelmanin.it","0039-02-6596511","20121","45.473987","9.196154","4","milan",,,"Italy","IT"
"Ramana Hotel Saigon Ho Chi Minh City","323 Le Van Sy Street, District 3","reservation@ramanasaigon.com","http://www.ramanasaigon.com","84 (28) 38439999","700000","10.787903","106.677662","4","Ho Chi Minh City",,,"Vietnam","VN"
"Melia Purosani Hotel Yogyakarta","Jalan Suryotomo no. 31, Yogyakarta","melia.purosani@melia.com","https://www.melia.com/en/hotels/indonesia/java/melia-purosani/index.htm","(62) 274 589521 23","55122","-7.796571","110.368868","5","Yogyakarta",,,"Indonesia","ID"
"Beyond Resort Karon","51 Karon Road Tambon Karon, Phuket","rsvn-brkr@katagroup.com","https://www.beyondresortkaron.com/","66-76-330006","83100","7.829639","98.294675","4","phuket",,,"Thailand","TH"
"The Kimpton Buchanan","1800 Sutter Street","ddebruin@jdvhotels.com","https://www.ihg.com/kimptonhotels/hotels/us/en/enso-hotel-san-francisco-ca/sfobc/hoteldetail","1-415-9214000","94115","37.786668","-122.430274","3","san francisco","InterContinental Hotels & Resorts","Kimpton","United States","US"
"Hotel Ramanashree Richmond Circle","16, Raja Ram Mohan Roy Road, Bangalore","reserve@ramanashree.com","http://www.ramanashree.com","91-80-41350000","560 025","12.966948","77.594374","3","Bangalore",,,"India","IN"
"Best Western Lake Buena Vista – Disney Springs Resort Area","2000 Hotel Plaza Boulevard Lake Buena Vista, Florida, 32830-8406, US","reservations@lakebuenavistaresorthotel.com","http://disneyspringshotels.com/hotels/best-western/","800-348-3765","32820","28.378555","-81.508135","3","Orlando (FL)","Best Western Hotels & Resorts","Best Western","United States","US"
"Hotel Silken Alfonso X","Carlos Vazquez, 8, Ciudad Real","DIRECCION.ALFONSOX@HOTELES-SILKEN.COM","https://www.hoteles-silken.com/en/hotel-alfonso-x-ciudad-real/","+34926224281","13001","38.985072","-3.927838","4","Ciudad Real",,,"Spain","ES"
"Imperial Phukaew Hill Resort Khao Kho","99 Moo 14, Phitsanulok-Lomsak Rd.(Highway No.12), Tambol Campson, Petchabun, 67280 Khao Kho, Thailand","FO.IPK@IMPERIALHOTELS.COM","http://www.imperialphukaewresort.com/","66（0）89 895 0658","67280","16.783608","101.010649","4","Khao Kho",,,"Thailand","TH"
"The Ritz Cape Town","Corner of Main and Camberwell Road","info@theritzcapetown.co.za",,"+27214396010",,"-33.90915","18.39711","3","Cape Town",,,"South Africa","ZA"
"Wyndham Garden Hotel Kassel","Heiligenröder Straße 61 34123 Kassel Germany","info@wyndhamgardenkassel.com","https://www.wyndhamhotels.com/wyndham-garden/kassel-germany/wyndham-garden-kassel/overview","+49-561-52050","34123","51.307626","9.54861","4","kassel","Wyndham Hotels & Resorts","Wyndham Garden","Germany","DE"
"The Tower by Temptation Cancun Resort  - All Inclusive - Adults Only","Km 3.5 Blvd Kukulcan,Cancun 77500","dhernandez@original-group.com","http://www.temptationresortcancun.com/accommodations.asp","529988487900","77500","21.148404","-86.792207","3","cancun",,,"Mexico","MX"
"Royal Plaza Hotel","193 Prince Edward Road West, Kowloon","inquiry@royalplaza.com.hk","https://www.royalplaza.com.hk/en/","+85229288822","852","22.324869","114.173326","5","hong kong",,,"Hong Kong (China)","HK"
"Hilton Scottsdale Resort & Villas","6333 North Scottsdale Road, Scottsdale, Arizona, 85250-5428, USA","SCTSH_GM@hhc.hilton.com","https://www.hilton.com/en/book/reservation/rooms/?ctyhocn=SCTSHHF","+1480-948-7750","85250","33.530594","-111.92479","4","Scottsdale (AZ)","Hilton Hotels & Resorts","Hilton","United States","US"
"Lu Song Yuan Hotel","No.22 Banchang Lane Kuanjie","websales@lusongyuanhotel.com","http://cn.lusongyuanhotel.com","1064040436",,"39.933544","116.400063","3","beijing",,,"China","CN"
"NH Ciudad de Santiago Hotel","Condell, 40, Santiago","nhciudaddesantiago@nh-hotels.com","https://www.nh-hotels.com/hotel/nh-ciudad-de-santiago?_ga=2.215959775.970271876.1583729971-843955232.1583729971","+56 2 2341 75 75","1100","-33.435685","-70.628335","5","Santiago","NH Hotel Group","NH Hotel","Chile","CL"
"Sercotel Gran Hotel Luna de Granada","Plaza Manuel Cano, 2, Granada","reservas@granhotellunadegranada.com","http://www.granhotellunadegranada.com","958 28 29 13","18004","37.17693","-3.61285","4","Granada",,,"Spain","ES"
"Sheraton Miyako Hotel Tokyo","1-1-50 Shirokanedai Minato-ku ,Tokyo 108-8640 Japan","reservation.tokyo@miyakohotels.ne.jp","https://www.marriott.com/hotels/travel/tyomy-sheraton-miyako-hotel-tokyo/","+81 3-3447-3111","1088640","35.63994","139.73015","4","Tokyo","Marriott Bonvoy","Sheraton","Japan","JP"
"Hotel East 21 Tokyo (Okura Hotels & Resorts)","6-3-3 Toyo, Koto-Ku",,"https://www.hotel-east21.co.jp/","+81-3-5683-5683",,"35.674849","139.816094","4","Tokyo",,,"Japan","JP"
"Hilton Sharm Waterfalls Resort","Ras Um El-sid Cliff, Sharm El Sheikh, -, Egypt","Emad.ElDefrawy@hilton.com","https://www3.hilton.com/en/hotels/egypt/hilton-sharm-waterfalls-resort-SSHWFHI/index.html","+20 69 366 3232",,"27.856098","34.315281","5","sharm el sheikh","Hilton Hotels & Resorts","Hilton Hotels & Resorts","Egypt","EG"
"Novotel Peace Beijing Hotel","3 Jin Yu Hu Tong Wang Fu Jing Street","res@novotelpeacebj.com","https://all.accor.com/hotel/3115/index.en.shtml","+861065128833","100006","39.915995","116.415569","4","beijing","Accor Hotels","Novotel","China","CN"
"Crowne Plaza - Felbridge","London Rd, East Grinstead","rooms@felbridgehotel.co.uk","https://www.ihg.com/crowneplaza/hotels/us/en/west-sussex/bsheg/hoteldetail","44-1342-337700","RH19 2BH","51.138389","-0.036715","4","East Grinstead","InterContinental Hotels & Resorts","Crowne Plaza","United Kingdom","GB"
"Dormero Hotel Dresden City","Kreischaer Str. 2 / Wasaplatz, Dresden",,"https://www.dormero.de/hotel-dresden-city/","49 351 87310/+49 30 202 13 300","1219","51.027916","13.759719","4","Dresden",,,"Germany","DE"
"Hotel Eiffel Seine","3, Boulevard de Grenelle, Paris","contact@eiffelseine.com","https://www.dormero.de/en/hotel-dresden-city/","33-1-45781481","75015","48.854345","2.289136","3","Paris",,,"France","FR"
"Shima Spain Mura Hotel","Isobe Sakazaki 952-4","online_support@nta.co.jp","https://www.miyakohotels.ne.jp/spain/english/index.html","011 81 599-57-3511",,"34.358104","136.844759","3","Mie",,,"Japan","JP"
"Mercure Melbourne Treasury Gardens Hotel","13 Spring Street 3000 - Melbourne Australia","h2086-RE02@accor.com","http://hotels.huazhu.com/inthotel/detail/2086?CheckInDate=2019-12-04&CheckOutDate=2019-12-05&RoomCount=1&GuestPerRoom=1&HotelLevel=4","+61392059999","3000","-37.814706","144.974516","4","Melbourne","HUAZHU Group","Mercure Hotels","Australia","AU"
"Rey Arturo Hotel","Autovia A-62 Km. 6.600, Villagonzalo-Pedernales","hotel@hotelreyarturo.com","http://www.hotelreyarturo.com","34-947-294251","09195","42.306477","-3.731039","3","Burgos",,,"Spain","ES"
"Victoires Opera Hotel","56 rue de Montorgueil, Paris","hotel@victoiresopera.com","http://www.hotelvictoiresopera.com","+33142364108","75002","48.864898","2.346828","4","Paris",,,"France","FR"
"Ibis Chur Hotel","Richtstrasse 19 7000 – Chur Switzerland","H1720@accor.com","https://all.accor.com/hotel/1720/index.en.shtml","+41812526060","7000","46.846081","9.512548","2","Chur","Accor Hotels","Ibis Hotels","Switzerland","CH"
"Dan Panorama Tel Aviv Hotel","Charles Clore Park, Tel Aviv","PANORAMATELAVIV@DANHOTELS.COM","https://www3.danhotels.com/TelAvivHotels/DanPanoramaTelAvivHotel","+97235190190","68012","32.06497","34.76245","5","tel aviv",,,"Israel","IL"
"Holiday Inn Cairns Harbourside","209-217 The Esplanade 4870 - Cairns Australia","res.cairns@ihg.com","https://www.ihg.com/holidayinn/hotels/us/en/cairns/cnshb/hoteldetail","61-7-40803000","4870","-16.909725","145.765529","4","cairns","InterContinental Hotels & Resorts","Holiday Inn","Australia","AU"
"Best Western Seven Seas","411 Hotel Circle S","reservations@bw7seas.com","https://www.bestwestern.com/en_US/book/san-diego/hotel-rooms/best-western-seven-seas/propertyCode.05281.html","+1 619 291 1300","92108-3402","32.760595","-117.166175","3","San Diego (CA)","Best Western Hotels & Resorts","Best Western","United States","US"
"NH Wien Belvedere","Rennweg 12a, Vienna","NHBELVEDERE@NH-HOTELS.COM","https://www.nh-hotels.com/booking/step1-rates?fini=26/03/2020&fout=27/03/2020&nadults1=2&nchilds1=0&nbabies1=0&hotelId=AT09.BELVE&gvoucher=false#v=compact","+43120611","1030","48.195849","16.382943","4","Vienna","NH Hotel Group","NH Hotel","Austria","AT"
"Hotel City Garden","P.C. Hooftstraat 162, Amsterdam","reservation@hotelcitygarden.nl","http://www.hotelcitygardenamsterdam.com","+31 20 672 7919","1071CH","52.359123","4.876379","3","Amsterdam",,,"Netherlands","NL"
"The Oberoi Beach Resort, Bali","Seminyak Beach,Jalan Kayu Aya,Denpasar - 80361 Bali, Indonesia","John.Halpin@oberoihotels.com","https://www.oberoihotels.com/hotels-in-bali/","62361730361","80361","-8.688971","115.156599","5","bali",,,"Indonesia","ID"
"The Victoria Hotel Melbourne","215 Little Collins Street 3000 - MELBOURNE","reservations_thevictoriahotel@evt.com","http://www.victoriahotel.com.au/","0061396690000","3000","-37.814226","144.967095","3","Melbourne","Accor Hotels","Ibis Styles","Australia","AU"
"Hilton Vienna Plaza Hotel","Schottenring 11, A - 1010, Vienna, Austria","info.viennaplaza@hilton.com","https://www.hilton.com/en/book/reservation/rooms/?ctyhocn=VIEPWTW","+431313900","1010","48.215319","16.364892","4","Vienna","Hilton Hotels & Resorts","Hilton","Austria","AT"
"IMPERIAL HOTEL TOKYO","1-1, Uchisaiwai-cho 1-chome, Chiyoda-ku, Tokyo 1008558, Japan","online_support@nta.co.jp","http://www.imperialhotel.co.jp/","+81335041111","100-8558","35.67252","139.75738","5","Tokyo","分店组织","Imperial Hotel","Japan","JP"
"Hotel Don Paco Sevilla","Plaza Padre Jeronimo de Cordoba, 4, Seville","info@hoteldonpaco.com","https://www.hoteldonpaco.com/","+34954506999","41003","37.39286","-5.98664","3","Seville",,,"Spain","ES"
"Bangkok Centre Hotel","328 Rama IV Road, Bangkok","reservation@bangkokcentrehotel.com","http://www.bangkokcentrehotel.com/","66-2-2384848","10500","13.736722","100.516453","4","bangkok",,,"Thailand","TH"
"Novotel Brisbane Hotel","200 Creek Street 4000 Brisbane Australia","H1749-RE4@accor.com","https://www.amorahotels.com/brisbane","61-7-33093309","4000","-27.46433","153.02734","4","Brisbane","Accor Hotels","Novotel","Australia","AU"
"The Iroquois New York Hotel","49 West 44th Street, New York","reservations@iroquoisny.com","https://www.iroquoisny.com/","（800）332-7220/212-840-3080","10036","40.756262","-73.982259","4","New York (NY)",,,"United States","US"
"Tryp Merida Medea Hotel","Avda. De Portugal s/n, 06800, Mérida - Badajoz SPAIN","tryp.medea@melia.com","https://www.melia.com/es/hoteles/espana/merida/tryp-merida-medea-hotel/index.html","+34924372400","06800","38.90532","-6.36209","4","Merida",,,"Spain","ES"
"Bayview on The Park Melbourne","52 Queens Road, Melbourne","enquiry@bayviewhotels.com","https://www.bayviewhotels.com/hotel/bayview-on-the-park/","+61 3 9243 9999","3004","-37.846884","144.97705","3","Melbourne","分店组织","Bayview International Hotel&amp;Resorts","Australia","AU"
"Leonardo Boutique Museumhotel","P.C. Hooftstraat 2 Amsterdam, The Netherlands, 1071 BX, NL","info.museum@apollohotels.nl","https://www.apollohotels.co.uk/leonardo-boutique-museumhotel-amsterdam-city-center/","0031206621402","1071BX","52.36118","4.884183","3","Amsterdam","Fattal Hotels Group","Leonardo Hotel","Netherlands","NL"
"InterCityHotel Hamburg Altona","Paul-Nevermann-Platz 17, Hamburg","reservierung@hamburg-altona.intercityhotel.de","https://www.intercityhotel.com/zh/hotels/all-hotels/germany/hamburg/intercityhotel-hamburg-altona","49 40 38034-0","22765","53.55246","9.93629","3","hamburg",,,"Germany","DE"
"Hard Rock Hotel Pattaya","429 M.9, Pattaya Beach Road, Pattaya, Chonburi, Pattaya Central","rooms.pattaya@hardrockhotels.net","https://pattaya.hardrockhotels.net/","+66 38 428755-9","20150","12.939294","100.886054","4","pattaya","Hard Rock International","hard rock","Thailand","TH"
"Silks Place Taroko Hotel","18 Tian Hsyang Road, Shiou Lin Village","rsvn@silksplace-taroko.com.tw","http://www.silksplace-taroko.com.tw/zh-cn/contactus.php","886-3-869-1155","972","24.182384","121.494884","5","hualien county",,,"Taiwan (China)","TW"
"Voco Gold Coast - An IHG Hotel","31 Hamilton Ave, Surfers Paradise","russellp@watermarkhotelgc.com.au","http://www.watermarkhotelgoldcoast.com.au","61-7-55888333",,"-28.003704","153.427441","4","Gold Coast","InterContinental Hotels & Resorts","voco","Australia","AU"
"Trip Inn Hotel Conti","Brusseler Str. 40 - 42, Cologne",,,"+49221258770","D-50674","50.936053","6.934604","3","cologne",,,"Germany","DE"
"The Marmara Pera Hotel","Mesrutiyet Cad.,Tepebasi, Istanbul","pera-info@themarmarahotels.com","http://www.themarmarahotels.com","+902123340300","34430","41.030898","28.974086","4","istanbul",,,"Turkey","TR"
"Novotel Century Hong Kong","No. 238 Jaffe Road","info@novotelcenturyhk.com","https://all.accor.com/hotel/3562/index.en.shtml","+85225988888",,"22.279005","114.176378","4","hong kong","Accor Hotels","Novotel","Hong Kong (China)","HK"
"The slate, phuket(sha plus+)","116 Sakhu, Thalang District","reservations@theslatephuket.com","https://www.theslatephuket.com/","+6676327006","83110","8.087126","98.299097","5","phuket",,,"Thailand","TH"
"Cape Town Lodge Hotel","101 Buitengracht Street","info@capetownlodge.co.za","http://www.capetownlodge.co.za","27214220030","8001","-33.922291","18.415596","4","Cape Town",,,"South Africa","ZA"
"Alamanda Palm Cove","1 Veivers Road , Palm Cove, Cairns, Australia 4879","info@alamandapalmcove.com.au","https://www.lancemore.com.au/alamanda","61-7-40553000",,"-16.749932","145.670368","5","cairns",,,"Australia","AU"
"Grand Park Kunming Hotel","20 Hong Hua Qiao","info.gpkm@parkhotelgroup.com","https://www.parkhotelgroup.com/en/kunming","-65385817","650031","25.048018","102.69938","5","kunming",,,"China","CN"
"Chifley on South Terrace Hotel Adelaide","226 South Tce, Adelaide","frontoffice.southterrace@chifleyhotels.com","https://www.nexthotels.com/chifley/south-terrace-adelaide/","0061-8-82234355","5000","-34.935192","138.605581","4","adelaide",,,"Australia","AU"
"Mercure Maidstone Great Danes Hotel","Hollingbourne Nr Maidstone ME17 1RE - Maidstone United Kingdom","info@mercuremaidstone.co.uk","https://all.accor.com/hotel/8353/index.en.shtml","+441622528565","ME17 1RE","51.258706","0.619814","3","Maidstone","Accor Hotels","Mercure","United Kingdom","GB"
"Mercure Kuta Bali","Jalan Pantai Kuta 10 X Br Pande Mas 80361 Kuta Indonesia","reservation@mercurekutabali.com","http://www.mercurekutabali.com","+62361767411","80361","-8.721004","115.169757","4","bali","HUAZHU Group","Mercure Hotels","Indonesia","ID"
